| Module | models | schemas | repository | router | Missing |
| :--- | :---: | :---: | :---: | :---: | :---: |
| __pycache__ | NO | NO | NO | NO | YES |
| activity_tracking | YES | YES | YES | YES | NO |
| agent_management | YES | YES | YES | YES | NO |
| ai_assistant | NO | NO | NO | NO | YES |
| ai_mentor | NO | NO | NO | YES | YES |
| ai_scheduling | NO | NO | NO | YES | YES |
| ai_signals | NO | NO | NO | YES | YES |
| analytics_kpi | NO | NO | NO | YES | YES |
| analytics_platform | NO | NO | NO | YES | YES |
| approval_center | NO | NO | NO | YES | YES |
| approval_chain | NO | NO | NO | YES | YES |
| approval_requests | NO | NO | NO | YES | YES |
| assets | YES | YES | YES | YES | NO |
| audit_log | NO | NO | NO | YES | YES |
| auth | YES | YES | YES | YES | NO |
| bulk_operations | NO | NO | NO | YES | YES |
| cache | YES | YES | YES | YES | NO |
| client_portal | NO | NO | NO | NO | YES |
| contracts | YES | YES | YES | YES | NO |
| csv_export | NO | NO | NO | YES | YES |
| customer360 | NO | NO | NO | YES | YES |
| customer_success | NO | NO | NO | YES | YES |
| dashboard | YES | YES | YES | YES | NO |
| digital_twin | NO | NO | NO | YES | YES |
| documents | YES | YES | YES | YES | NO |
| email_alert | NO | NO | NO | YES | YES |
| email_notifications | YES | YES | YES | YES | NO |
| email_service | YES | YES | YES | YES | NO |
| employee_timesheets | YES | YES | YES | YES | NO |
| employees | YES | YES | YES | YES | NO |
| engineering_management | NO | NO | NO | NO | YES |
| entity_views | NO | NO | NO | NO | YES |
| eta_invoicing | YES | YES | NO | YES | YES |
| executive_dashboard | YES | YES | YES | YES | NO |
| executive_intelligence | NO | NO | NO | YES | YES |
| executive_intelligence_platform | NO | NO | NO | NO | YES |
| executive_kpi | NO | NO | NO | YES | YES |
| financial_gl | YES | YES | YES | YES | NO |
| global_search | NO | NO | NO | YES | YES |
| goods_receipt_workflow | NO | NO | NO | YES | YES |
| goods_receipts | YES | YES | YES | YES | NO |
| hotels | YES | YES | YES | YES | NO |
| inventory_alerts | YES | YES | YES | YES | NO |
| inventory_items | YES | YES | YES | YES | NO |
| inventory_vendors | YES | YES | YES | YES | NO |
| invoices | YES | YES | YES | YES | NO |
| knowledge_graph | NO | NO | NO | YES | YES |
| lead_management | YES | YES | YES | YES | NO |
| maintenance_enterprise | NO | NO | NO | YES | YES |
| notification_engine | NO | NO | NO | YES | YES |
